venue,ticker,title,yes_ask,no_ask,yes_sz,no_sz,vol
KALSHI,KXSILVERH-26JUL2315-T58.299,"Will the SILVER close price be above 58.299 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.1,0.91,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.249,"Will the SILVER close price be above 58.249 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.13,0.88,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.099,"Will the SILVER close price be above 58.099 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.17,0.87,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T58.049,"Will the SILVER close price be above 58.049 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.18,0.86,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.999,"Will the SILVER close price be above 57.999 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.2,0.84,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.949,"Will the SILVER close price be above 57.949 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.22,0.82,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.899,"Will the SILVER close price be above 57.899 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.25,0.79,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.849,"Will the SILVER close price be above 57.849 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.29,0.75,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.799,"Will the SILVER close price be above 57.799 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.35,0.69,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.749,"Will the SILVER close price be above 57.749 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.47,0.54,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.699,"Will the SILVER close price be above 57.699 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.56,0.45,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.649,"Will the SILVER close price be above 57.649 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.61,0.41,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.599,"Will the SILVER close price be above 57.599 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.68,0.36,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.549,"Will the SILVER close price be above 57.549 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.74,0.29,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.499,"Will the SILVER close price be above 57.499 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.77,0.25,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.449,"Will the SILVER close price be above 57.449 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.8,0.21,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.399,"Will the SILVER close price be above 57.399 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.82,0.19,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.349,"Will the SILVER close price be above 57.349 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.87,0.17,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.299,"Will the SILVER close price be above 57.299 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.87,0.16,50.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.249,"Will the SILVER close price be above 57.249 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.89,0.15,550.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.199,"Will the SILVER close price be above 57.199 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.91,0.13,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.149,"Will the SILVER close price be above 57.149 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.92,0.1,550.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.099,"Will the SILVER close price be above 57.099 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.93,0.09,550.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T57.049,"Will the SILVER close price be above 57.049 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.93,0.09,500.0,0.0,0.0
KALSHI,KXSILVERH-26JUL2315-T56.999,"Will the SILVER close price be above 56.999 USD/ounce on July 23, 2026 at 3:00 PM ET?",0.94,0.08,500.0,0.0,0.0
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↑ $70,0.014,0.995,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↑ $68,0.037,0.984,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↑ $66,0.036,0.971,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↑ $64,0.12,0.92,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $54,0.3,0.73,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $52,0.106,0.912,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $50,0.025,0.984,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $48,0.019,0.99,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $46,0.03,0.989,,,13856.042465
POLY,what-price-will-xagusd-hit-in-july,What will Silver (XAGUSD) hit in July 2026? | ↓ $44,0.008,0.997,,,13856.042465
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↑ $62,0.08,0.97,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↑ $61,0.07,0.98,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $55,0.108,0.894,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $54,0.05,0.99,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $53,0.07,0.99,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $52,0.047,0.99,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $51,0.033,0.99,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $50,0.001,,,,3473.066444
POLY,will-xagusd-hit-week-of-july-20-20,What will Silver (XAGUSD) hit Week of July 20 2026? | ↓ $49,0.009,0.998,,,3473.066444
POLY,xagusd-up-or-down-on-july-23-2026,Silver (XAGUSD) Up or Down on July 23? | Silver (XAGUSD) Up or Down on July 23?,0.003,,,,538.2603
